,TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,TransactionDate,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,Terrorism,UserTenure,IsFraud,Income,Expenditure,GiftsTransaction,TransactionAmount,Cleaned_TransactionTime,Transaction_Time_of_Day
19,17034,1116,32,Female,Professional,High School,Married,1,2023-04-12,M006,Purchase,Adelaide,Mobile,-37.0201,144.9646,0,104,1,60108.48,25007.38,2331.67,34.24,2024-09-14 01:46:26,Night
20,8097,4530,18,Male,Unemployed,Bachelor,Widowed,0,2023-12-23,M003,Purchase,Perth,Mobile,-37.0201,144.9646,0,45,0,58974.57,33755.03,654.6,384.7,2024-09-14 16:43:20,Afternoon
21,15195,4143,30,Female,Professional,High School,Single,4,2023-12-15,M002,Purchase,Hobart,Mobile,-25.042261,117.793221,0,82,1,127088.35,53914.5,15901.04,348.65,2024-09-14 02:29:35,Night
22,8237,1162,29,Female,Student,Bachelor,Married,1,2023-12-02,M001,Payment,Melbourne,Mobile,-20.917574,142.702789,1,101,0,42903.25,31294.62,5755.34,161.54,2024-09-14 11:18:44,Morning
23,16688,1737,36,Male,Professional,High School,Married,1,2023-09-24,M007,Transfer,Sydney,Desktop,-37.0201,144.9646,0,16,1,68350.31,24898.43,873.61,87.26,2024-09-14 00:24:13,Night
24,17924,382,35,Female,Student,High School,Single,0,2023-10-08,M008,Purchase,Melbourne,Mobile,-37.0201,144.9646,0,11,0,78404.02,40887.5,6948.17,432.73,2024-09-14 08:53:21,Morning
25,5852,2587,28,Female,Professional,Bachelor,Single,1,2023-09-25,M003,Payment,Brisbane,Mobile,-30.000233,136.209152,1,48,0,66233.88,23587.19,17957.56,119.03,2024-09-14 23:21:12,Evening
26,11620,3113,31,Female,Professional,High School,Married,2,2023-11-20,M002,Purchase,Hobart,Desktop,-31.840233,145.612793,0,95,0,127411.46,54214.57,7634.79,106.33,2024-09-14 21:55:22,Evening
27,9616,1371,30,Male,Professional,High School,Widowed,4,2023-11-21,M006,Purchase,Canberra,Mobile,-31.840233,145.612793,0,37,0,53477.15,30523.44,4390.18,137.75,2024-09-14 11:01:45,Morning
28,18255,1066,28,Female,Retired,Bachelor,Single,1,2023-09-06,M008,Transfer,Perth,Tablet,-31.840233,145.612793,0,113,0,75889.65,28567.32,5576.9,236.07,2024-09-14 15:59:49,Afternoon
29,18023,2358,21,Male,Student,Master,Single,0,2023-10-25,M004,Payment,Sydney,Mobile,-31.840233,145.612793,0,67,0,66119.48,28387.45,4513.98,1091.69,2024-09-14 16:45:46,Afternoon
30,6826,2854,37,Female,Professional,Bachelor,Married,1,2023-07-07,M001,Purchase,Adelaide,Mobile,-37.0201,144.9646,0,51,0,77572.19,31716.53,5464.4,593.4,2024-09-14 17:26:41,Afternoon
31,477,453,52,Male,Student,Bachelor,Married,1,2023-07-08,M001,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,1,68,1,155909.72,74590.43,28983.68,21.97,2024-09-14 01:49:04,Night
32,11409,4165,37,Male,Professional,High School,Married,1,2023-09-23,M007,Purchase,Melbourne,Mobile,-31.840233,145.612793,0,17,0,34730.55,25960.05,1893.46,52.7,2024-09-14 18:51:22,Evening
33,8031,4867,31,Female,Student,High School,Widowed,1,2023-12-26,M001,Transfer,Brisbane,Tablet,-20.917574,142.702789,1,18,0,61718.9,41013.99,4748.83,1360.31,2024-09-14 16:02:38,Afternoon
34,4190,3207,42,Male,Professional,High School,Married,1,2023-06-11,M004,Purchase,Darwin,Desktop,-37.0201,144.9646,0,106,1,56576.53,22365.56,708.62,34.95,2024-09-14 02:22:12,Night
35,18053,4138,55,Female,Professional,High School,Married,3,2023-04-18,M008,Payment,Canberra,Mobile,-41.640079,146.315918,0,89,0,73516.82,36599.64,7842.88,2.96,2024-09-14 08:39:30,Morning
36,11529,3617,18,Female,Unemployed,High School,Married,2,2023-12-02,M003,Withdrawal,Sydney,Mobile,-31.840233,145.612793,0,16,1,52486.36,32370.19,14777.34,198.41,2024-09-14 18:32:11,Evening
37,13655,2273,40,Male,Student,Bachelor,Married,4,2023-12-08,M006,Purchase,Sydney,Mobile,-31.840233,145.612793,0,35,0,119498.91,57677.54,19021.13,82.03,2024-09-14 14:20:13,Afternoon
38,7724,2955,29,Male,Student,Bachelor,Married,4,2023-12-20,M004,Withdrawal,Brisbane,Mobile,-31.840233,145.612793,1,78,1,105727.69,82090.6,8434.29,51.32,2024-09-14 01:16:56,Night
39,642,3609,48,Female,Unemployed,High School,Married,4,2023-01-08,M008,Transfer,Adelaide,Desktop,-30.000233,136.209152,0,47,0,40163.34,30880.64,2959.58,26.69,2024-09-14 06:05:34,Morning
40,549,4714,40,Male,Student,Bachelor,Single,2,2023-03-19,M004,Purchase,Adelaide,Mobile,-31.840233,145.612793,0,65,1,69175.91,33882.72,13402.85,764.01,2024-09-14 02:02:26,Night
41,4462,205,24,Male,Student,High School,Married,2,2023-09-16,M002,Withdrawal,Darwin,Mobile,-37.0201,144.9646,0,22,1,80021.21,39039.38,5412.81,198.66,2024-09-14 21:35:02,Evening
42,15136,1838,40,Female,Professional,Master,Single,2,2023-10-07,M005,Purchase,Canberra,Mobile,-31.840233,145.612793,0,68,0,112448.56,57002.04,2275.96,13.6,2024-09-14 20:56:31,Evening
43,7046,3025,43,Male,Unemployed,High School,Single,1,2023-03-18,M004,Payment,Melbourne,Mobile,-20.917574,142.702789,0,52,0,48603.3,30078.57,2748.04,362.58,2024-09-14 10:13:16,Morning
44,15759,1639,26,Male,Professional,High School,Divorced,1,2023-11-17,M005,Withdrawal,Hobart,Desktop,-41.640079,146.315918,0,8,1,56790.7,30494.69,1879.51,428.07,2024-09-14 16:14:02,Afternoon
45,15629,1131,35,Female,Student,PhD,Widowed,3,2023-12-30,M007,Payment,Perth,Mobile,-37.0201,144.9646,0,92,0,72725.88,58406.53,5417.49,785.08,2024-09-14 07:41:09,Morning
46,1793,2978,53,Male,Professional,Master,Married,3,2023-12-28,M004,Purchase,Melbourne,Mobile,-31.840233,145.612793,0,55,0,57004.46,20461.87,4854.21,573.81,2024-09-14 21:23:13,Evening
47,1692,548,29,Female,Professional,High School,Single,2,2023-10-04,M004,Purchase,Hobart,Mobile,-37.0201,144.9646,0,61,0,30510.67,9854.51,2548.08,130.78,2024-09-14 15:50:58,Afternoon
48,8632,1117,27,Male,Professional,Bachelor,Divorced,3,2023-06-01,M005,Purchase,Perth,Mobile,-37.0201,144.9646,0,92,0,92112.83,70062.72,7337.34,175.78,2024-09-14 19:01:18,Evening
49,5430,4343,35,Male,Professional,Bachelor,Married,4,2023-07-04,M007,Purchase,Hobart,Mobile,-25.042261,117.793221,0,24,0,32736.66,19165.33,2530.85,378.8,2024-09-14 14:49:59,Afternoon
50,11521,2563,35,Male,Student,High School,Married,2,2023-12-08,M006,Payment,Adelaide,Mobile,-31.840233,145.612793,0,59,1,69667.7,46004.0,13863.24,368.75,2024-09-14 00:41:54,Night
51,493,1145,43,Female,Professional,Bachelor,Widowed,1,2023-01-27,M004,Purchase,Darwin,Mobile,-20.917574,142.702789,0,28,0,183749.38,144467.1,4871.62,101.64,2024-09-14 17:02:41,Afternoon
52,11628,514,34,Male,Professional,High School,Single,0,2023-08-20,M001,Purchase,Brisbane,Desktop,-25.042261,117.793221,0,81,0,53924.18,17504.94,9016.47,796.23,2024-09-14 06:00:48,Morning
53,4253,1071,44,Male,Retired,High School,Married,1,2023-09-04,M006,Purchase,Brisbane,Mobile,-20.917574,142.702789,1,68,0,34785.24,26800.42,9114.29,332.25,2024-09-14 20:52:20,Evening
54,13128,2303,26,Male,Retired,Master,Single,1,2023-06-09,M005,Transfer,Adelaide,Tablet,-37.0201,144.9646,0,36,0,138804.27,70992.28,11197.23,100.12,2024-09-14 17:03:25,Afternoon
55,14470,244,44,Male,Student,High School,Married,2,2023-12-30,M008,Purchase,Brisbane,Desktop,-25.042261,117.793221,1,6,0,40395.6,32224.49,2031.48,30.26,2024-09-14 16:31:23,Afternoon
56,1463,1682,33,Male,Professional,High School,Single,3,2023-07-24,M001,Purchase,Sydney,Mobile,-20.917574,142.702789,1,3,0,51150.96,21483.6,4019.35,469.03,2024-09-14 22:07:29,Evening
57,13866,536,27,Male,Professional,High School,Married,1,2023-10-14,M002,Purchase,Adelaide,Mobile,-37.0201,144.9646,0,52,0,156147.73,50988.31,1609.34,194.7,2024-09-14 22:36:32,Evening
58,11256,2856,38,Female,Professional,Bachelor,Married,1,2023-07-11,M008,Withdrawal,Canberra,Desktop,40.43026,50.03598,0,112,1,44345.81,13965.6,35.69,692.53,2024-09-14 02:07:25,Night
59,11248,4267,24,Male,Student,Bachelor,Married,1,2023-07-02,M003,Transfer,Perth,Tablet,-20.917574,142.702789,0,11,1,128661.48,57467.0,7171.42,64.39,2024-09-14 01:49:23,Night
60,7831,3800,47,Female,Professional,High School,Married,4,2023-04-15,M001,Withdrawal,Sydney,Mobile,-20.917574,142.702789,0,19,1,71815.71,37729.96,11394.01,603.84,2024-09-14 13:27:01,Afternoon
61,14084,778,34,Male,Student,High School,Married,2,2023-10-27,M006,Withdrawal,Perth,Desktop,-37.0201,144.9646,1,64,1,77998.78,57689.04,2841.12,287.38,2024-09-14 20:19:38,Evening
62,14155,3123,33,Male,Professional,High School,Married,3,2023-12-29,M003,Purchase,Brisbane,Desktop,-20.917574,142.702789,1,62,0,54910.78,23014.21,2013.63,248.25,2024-09-14 22:32:41,Evening
63,14073,620,37,Female,Unemployed,High School,Single,1,2023-01-30,M007,Withdrawal,Brisbane,Desktop,-20.917574,142.702789,0,105,1,138550.41,79990.08,4339.97,3.98,2024-09-14 00:07:39,Night
64,2287,307,31,Male,Professional,High School,Married,3,2023-09-20,M001,Purchase,Sydney,Mobile,-20.917574,142.702789,0,71,1,25062.03,13213.16,1638.8,54.14,2024-09-14 03:54:48,Night
65,17304,873,44,Female,Professional,High School,Widowed,3,2023-05-29,M003,Payment,Melbourne,Mobile,-37.0201,144.9646,0,88,0,35631.99,11456.68,10919.03,15.4,2024-09-14 07:19:28,Morning
66,11630,3567,48,Male,Professional,Bachelor,Married,3,2023-08-10,M002,Transfer,Adelaide,Mobile,-20.917574,142.702789,0,58,0,124930.64,50236.33,5784.14,356.26,2024-09-14 23:17:17,Evening
67,8696,630,34,Male,Professional,High School,Single,2,2023-11-29,M005,Transfer,Canberra,Mobile,-25.042261,117.793221,0,118,0,33147.62,17387.2,3329.35,261.17,2024-09-14 17:16:50,Afternoon
68,965,4831,28,Female,Professional,High School,Married,3,2023-02-06,M007,Purchase,Darwin,Mobile,-37.0201,144.9646,0,73,1,67826.46,26706.2,19968.46,11.37,2024-09-14 05:15:00,Night
69,444,1813,18,Female,Professional,High School,Married,0,2023-11-02,M003,Transfer,Perth,Mobile,-31.840233,145.612793,0,1,1,42262.54,25487.01,6939.07,3138.62,2024-09-14 00:00:00,Night
70,9938,100,18,Male,Retired,Bachelor,Single,3,2023-07-03,M008,Purchase,Hobart,Mobile,-20.917574,142.702789,0,117,0,53376.26,35148.54,34.24,193.01,2024-09-14 13:33:40,Afternoon
71,6348,2703,19,Male,Professional,Bachelor,Single,0,2023-12-15,M008,Payment,Perth,Desktop,-31.840233,145.612793,0,32,0,33945.55,22299.88,3017.85,99.08,2024-09-14 11:36:23,Morning
72,10714,1605,49,Female,Student,High School,Single,4,2023-08-04,M006,Purchase,Darwin,Mobile,-31.840233,145.612793,0,51,0,72857.65,45549.01,10708.44,173.33,2024-09-14 20:48:42,Evening
73,6674,2178,34,Male,Student,Bachelor,Married,2,2023-07-06,M008,Purchase,Brisbane,Mobile,-20.917574,142.702789,0,43,0,48259.54,23273.78,992.39,326.57,2024-09-14 18:09:20,Evening
74,438,2042,36,Female,Student,Master,Single,3,2023-05-03,M007,Transfer,Melbourne,Mobile,-31.840233,145.612793,0,33,0,65986.34,39396.63,12838.73,950.76,2024-09-14 00:00:00,Night
75,7821,1054,27,Male,Unemployed,Master,Divorced,4,2023-05-11,M006,Purchase,Melbourne,Mobile,-25.042261,117.793221,0,47,0,73110.26,33051.85,6912.98,807.58,2024-09-14 01:24:38,Night
76,11368,4621,36,Female,Professional,Bachelor,Single,3,2023-12-17,M005,Purchase,Melbourne,Mobile,-35.473469,149.012375,1,110,0,78277.17,23843.38,777.1,220.4,2024-09-14 12:03:07,Afternoon
77,13551,3337,51,Male,Student,PhD,Single,4,2023-09-18,M002,Withdrawal,Sydney,Desktop,-31.840233,145.612793,1,44,1,59894.19,47913.54,1266.47,534.18,2024-09-14 23:59:59,Night
78,17189,1454,27,Male,Professional,Bachelor,Married,1,2023-01-16,M007,Transfer,Sydney,Desktop,-37.0201,144.9646,0,33,0,36151.65,22073.79,3617.7,1783.36,2024-09-14 15:30:52,Afternoon
79,5740,3666,61,Male,Professional,High School,Single,2,2023-06-12,M001,Purchase,Brisbane,Mobile,-37.0201,144.9646,1,32,0,119230.48,44520.03,15746.72,201.03,2024-09-14 21:44:58,Evening
80,1494,950,52,Male,Professional,Bachelor,Married,2,2023-09-17,M005,Purchase,Melbourne,Mobile,-25.042261,117.793221,0,24,0,76724.76,42300.82,11347.09,130.12,2024-09-14 10:40:13,Morning
81,9515,1794,43,Female,Student,High School,Married,4,2023-11-18,M005,Transfer,Adelaide,Desktop,-20.917574,142.702789,0,64,1,71753.44,51918.74,4439.3,30.14,2024-09-14 00:58:49,Night
82,17679,2883,43,Female,Unemployed,Master,Single,3,2023-07-07,M005,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,1,93,1,72020.18,47689.57,11415.85,76.74,2024-09-14 21:09:43,Evening
83,5261,987,42,Male,Professional,Bachelor,Married,1,2023-05-25,M005,Withdrawal,Perth,Desktop,-37.0201,144.9646,0,81,1,49864.6,22072.97,3991.87,256.19,2024-09-14 21:37:48,Evening
84,467,4984,23,Male,Professional,Master,Single,2,2023-04-18,M001,Payment,Brisbane,Mobile,-37.0201,144.9646,0,35,0,53806.55,23402.54,814.11,102.87,2024-09-14 17:51:13,Afternoon
85,13796,3798,33,Male,Student,High School,Single,1,2023-12-26,M002,Withdrawal,Sydney,Desktop,-20.917574,142.702789,1,118,1,94374.04,43303.66,1602.32,430.47,2024-09-14 18:43:35,Evening
86,3751,4723,36,Female,Professional,Bachelor,Married,4,2023-06-17,M004,Purchase,Darwin,Mobile,-35.473469,149.012375,0,117,0,48425.06,32665.25,4374.47,161.44,2024-09-14 08:22:50,Morning
87,14399,3250,52,Male,Professional,Bachelor,Single,2,2023-11-18,M005,Purchase,Perth,Mobile,-31.840233,145.612793,0,33,1,55666.31,29339.16,1617.1,47.88,2024-09-14 01:40:23,Night
88,756,3989,28,Male,Professional,Bachelor,Married,3,2023-06-13,M001,Purchase,Adelaide,Mobile,-37.0201,144.9646,0,55,0,73539.45,23824.09,1853.16,1342.2,2024-09-14 19:54:28,Evening
89,17384,2057,28,Female,Professional,Master,Single,0,2023-01-16,M005,Transfer,Melbourne,Mobile,-37.0201,144.9646,0,108,0,132714.06,61337.48,27126.77,316.37,2024-09-14 12:18:48,Afternoon
90,7512,4701,46,Female,Unemployed,Bachelor,Married,1,2023-04-26,M006,Purchase,Adelaide,Mobile,-37.0201,144.9646,0,27,0,84164.8,45706.72,1714.04,27.43,2024-09-14 12:15:50,Afternoon
91,2688,10,32,Male,Student,Bachelor,Married,2,2023-03-05,M006,Payment,Perth,Mobile,-31.840233,145.612793,0,3,0,73827.19,42587.24,5524.18,219.24,2024-09-14 11:23:29,Morning
92,5186,2132,18,Female,Student,Bachelor,Single,1,2023-10-23,M007,Payment,Darwin,Mobile,-20.917574,142.702789,1,72,1,135586.41,91539.67,8590.29,25.93,2024-09-14 00:00:00,Night
93,10206,3882,39,Male,Unemployed,Bachelor,Married,0,2023-05-06,M005,Purchase,Sydney,Desktop,-37.0201,144.9646,0,17,0,58818.24,35177.33,5404.37,987.29,2024-09-14 19:05:30,Evening
94,8352,3379,32,Male,Professional,High School,Married,4,2023-11-18,M002,Withdrawal,Melbourne,Tablet,-25.042261,117.793221,0,65,0,23521.53,15858.68,2130.48,136.02,2024-09-14 06:18:12,Morning
95,17319,4931,18,Male,Retired,High School,Single,1,2023-10-31,M005,Transfer,Darwin,Mobile,-35.473469,149.012375,0,27,0,63479.88,42961.08,16523.71,97.38,2024-09-14 06:35:41,Morning
96,3958,2344,43,Female,Professional,High School,Married,4,2023-12-13,M001,Purchase,Canberra,Desktop,-37.0201,144.9646,0,18,0,87174.54,67460.82,4357.92,14.45,2024-09-14 19:29:55,Evening
97,915,2334,52,Female,Professional,Bachelor,Married,3,2023-10-13,M002,Purchase,Darwin,Desktop,-20.917574,142.702789,1,80,1,65600.23,39500.33,75.99,915.19,2024-09-14 02:53:11,Night
98,9742,1078,30,Male,Professional,High School,Single,0,2023-09-24,M002,Payment,Perth,Mobile,-25.042261,117.793221,0,110,0,116632.87,78473.93,14560.57,813.55,2024-09-14 16:36:27,Afternoon
99,4511,418,50,Male,Professional,High School,Single,0,2023-11-20,M006,Purchase,Brisbane,Desktop,-37.0201,144.9646,0,55,0,80923.88,57337.42,3247.97,424.48,2024-09-14 23:59:59,Night
100,1374,2031,30,Female,Professional,High School,Single,0,2023-05-22,M004,Purchase,Canberra,Mobile,-41.640079,146.315918,0,34,0,26088.42,14988.63,2358.13,607.98,2024-09-14 15:56:07,Afternoon
101,10460,2882,48,Male,Professional,Bachelor,Married,4,2023-10-02,M005,Purchase,Darwin,Mobile,-31.840233,145.612793,0,94,1,75369.95,30721.58,2284.54,1520.84,2024-09-14 01:12:53,Night
102,11039,1483,50,Male,Professional,High School,Divorced,1,2023-12-14,M004,Purchase,Sydney,Mobile,-31.840233,145.612793,0,48,0,62189.18,25646.64,16850.28,5.07,2024-09-14 16:01:28,Afternoon
103,13084,3647,39,Female,Professional,Bachelor,Single,3,2023-11-18,M002,Purchase,Perth,Tablet,-35.473469,149.012375,0,7,1,99819.89,37622.12,5843.31,68.38,2024-09-14 04:41:27,Night
104,17712,1211,28,Male,Unemployed,Bachelor,Married,1,2023-06-08,M005,Payment,Sydney,Mobile,-31.840233,145.612793,0,64,0,89020.1,46706.27,1154.15,99.46,2024-09-14 23:13:20,Evening
105,12615,4504,51,Female,Student,Bachelor,Single,0,2023-08-25,M003,Transfer,Darwin,Mobile,-31.840233,145.612793,0,68,0,96239.76,72885.51,13193.45,1309.29,2024-09-14 18:21:48,Evening
106,17071,1465,28,Female,Professional,High School,Married,1,2023-12-24,M004,Purchase,Adelaide,Desktop,-20.917574,142.702789,0,95,0,44196.64,20812.59,2338.85,101.51,2024-09-14 17:13:16,Afternoon
107,14793,2654,31,Female,Unemployed,High School,Single,2,2023-02-24,M005,Transfer,Melbourne,Desktop,-20.917574,142.702789,0,16,0,72515.21,54897.6,682.91,24.71,2024-09-14 14:52:17,Afternoon
108,6572,4882,41,Female,Retired,Bachelor,Single,0,2023-06-09,M006,Purchase,Adelaide,Mobile,-31.840233,145.612793,0,66,0,39728.73,24247.69,4047.5,193.86,2024-09-14 23:59:59,Night
109,11878,2391,36,Male,Professional,Bachelor,Single,2,2023-05-31,M005,Purchase,Sydney,Desktop,-31.840233,145.612793,0,57,0,83792.92,29021.67,32607.87,82.89,2024-09-14 23:18:01,Evening
110,537,4756,36,Male,Professional,Bachelor,Married,1,2023-11-18,M003,Purchase,Adelaide,Desktop,-20.917574,142.702789,0,27,0,94556.36,50555.81,12254.23,34.41,2024-09-14 19:04:57,Evening
111,10712,1639,26,Male,Professional,High School,Divorced,1,2023-11-17,M001,Purchase,Darwin,Mobile,-41.640079,146.315918,0,8,0,56790.7,29870.4,1878.76,35.7,2024-09-14 16:04:07,Afternoon
112,12397,1389,28,Female,Student,Bachelor,Single,4,2023-07-15,M001,Transfer,Canberra,Mobile,-31.840233,145.612793,0,62,0,93565.48,30483.18,5235.18,461.04,2024-09-14 14:57:28,Afternoon
113,5215,2221,36,Male,Professional,High School,Single,1,2023-12-13,M001,Purchase,Sydney,Desktop,-20.917574,142.702789,0,52,1,100540.85,49337.05,5731.45,90.46,2024-09-14 02:48:59,Night
114,15190,1993,27,Male,Unemployed,High School,Married,1,2023-07-21,M003,Purchase,Brisbane,Mobile,-41.640079,146.315918,0,105,0,62940.39,25034.24,14279.17,53.48,2024-09-14 15:35:40,Afternoon
115,15038,688,29,Male,Student,Bachelor,Single,1,2023-10-04,M006,Payment,Darwin,Desktop,-25.042261,117.793221,0,95,0,78935.75,27662.78,2038.91,1063.79,2024-09-14 18:59:58,Evening
116,16331,3130,34,Male,Student,High School,Married,4,2023-07-25,M006,Purchase,Brisbane,Mobile,-37.0201,144.9646,0,49,1,78476.8,54879.84,4693.01,169.99,2024-09-14 05:59:00,Night
117,17403,180,35,Female,Student,Bachelor,Married,3,2023-11-28,M005,Transfer,Canberra,Mobile,-31.840233,145.612793,0,42,0,124855.28,68545.6,5435.46,1802.74,2024-09-14 23:59:59,Night
118,9808,378,41,Male,Professional,High School,Married,2,2023-11-27,M006,Purchase,Melbourne,Mobile,-31.840233,145.612793,0,80,0,58620.06,39326.07,10788.53,41.78,2024-09-14 12:23:32,Afternoon
119,12590,2315,31,Male,Professional,High School,Married,1,2023-12-30,M008,Purchase,Perth,Desktop,-25.042261,117.793221,0,6,0,70090.35,49408.28,20858.08,127.51,2024-09-14 06:20:57,Morning
120,2186,4666,29,Female,Professional,Master,Single,0,2023-04-20,M007,Transfer,Melbourne,Desktop,-37.0201,144.9646,0,26,0,70486.11,25187.14,5946.56,122.55,2024-09-14 12:02:27,Afternoon
121,13240,1955,44,Female,Student,Bachelor,Married,2,2023-10-09,M004,Transfer,Brisbane,Mobile,-37.0201,144.9646,0,112,0,40968.3,25277.64,4396.44,274.39,2024-09-14 18:15:40,Evening
122,16323,4361,44,Female,Professional,Bachelor,Single,1,2023-05-05,M008,Payment,Brisbane,Desktop,-20.917574,142.702789,0,107,0,72238.44,49824.59,6813.78,32.18,2024-09-14 11:14:06,Morning
123,8606,2625,26,Female,Student,Bachelor,Married,3,2023-11-13,M004,Withdrawal,Adelaide,Mobile,-35.473469,149.012375,1,28,1,71740.1,42957.44,15369.32,220.49,2024-09-14 14:07:47,Afternoon
124,12959,4363,19,Male,Retired,Master,Single,3,2023-09-29,M002,Withdrawal,Melbourne,Desktop,-31.840233,145.612793,0,103,0,78880.96,24369.88,16306.53,368.49,2024-09-14 10:05:41,Morning
125,11545,103,21,Male,Student,High School,Single,3,2023-04-27,M003,Withdrawal,Melbourne,Mobile,-30.000233,136.209152,0,99,1,57384.51,40721.71,21206.26,79.65,2024-09-14 03:26:27,Night
126,1432,4635,42,Female,Student,PhD,Married,2,2023-12-02,M004,Withdrawal,Melbourne,Mobile,-20.917574,142.702789,0,98,1,30528.11,22169.73,215.72,700.18,2024-09-14 00:00:00,Night
127,17484,2033,41,Female,Student,High School,Married,2,2023-07-07,M005,Purchase,Adelaide,Mobile,-31.840233,145.612793,1,94,0,50601.21,22567.35,5835.35,1109.87,2024-09-14 15:04:16,Afternoon
128,16421,3070,19,Male,Professional,Bachelor,Married,4,2023-07-08,M006,Payment,Perth,Desktop,-35.473469,149.012375,0,85,0,62759.76,38092.24,4600.29,159.68,2024-09-14 11:55:41,Morning
129,12305,1285,18,Male,Professional,Bachelor,Married,2,2023-09-05,M005,Purchase,Adelaide,Mobile,-37.0201,144.9646,1,109,0,111914.84,46861.04,5539.21,158.04,2024-09-14 23:59:59,Night
